Avg_DelayA,Avg_DelayB,Avg_DelA-Avg_DelB,fcount_A,fcount_B,Percentage difference
0.25399354497591653,0.2561923968411195,0.0021988518652029665,988,974,0.8657117114576514
0.2694306558594043,0.2703351809122355,0.0009045250528312287,1147,1139,0.33571719964309954
0.29071009048987195,0.269038268498012,0.021671821991859963,1191,1127,8.05529343942388
0.30691445434550374,0.2714835607277763,0.035430893617727444,1148,1163,13.050843123888054
0.28028590381413243,0.2753530124282502,0.00493289138588221,1113,1139,1.7914789972263665
0.28606709034071054,0.3016491166800394,0.01558202633932887,1090,1117,5.446983195714831
0.30162618363775856,0.28089087961434067,0.02073530402341789,1148,1142,7.381978386726966
0.3096455976774919,0.2923867449203639,0.017258852757128018,1242,1139,5.902748006524282
0.30856619727906404,0.3033697976275346,0.00519639965152946,1132,1182,1.7128928760104831
0.3169254654056423,0.30673216179996704,0.010193303605675275,1092,1197,3.3231936116052796
0.3004877787818043,0.3310525547125961,0.030564775930791765,1146,1047,10.17172014605826
0.2927914669639186,0.3209518067512778,0.028160339787359212,1121,1148,9.617882679220797
0.2926679260240786,0.28339147459573627,0.009276451428342325,1163,1102,3.273369970488835
0.2907805297926561,0.3111478846969334,0.02036735490427727,1119,1128,7.004373683066198
0.3030409101101992,0.28339824543365427,0.019642664676544908,1112,1146,6.9311172503865786
0.29487279601534455,0.3220594250754024,0.027186629060057865,1123,1157,9.219782030568576
0.2932122584312193,0.29445018889398794,0.001237930462768655,1085,1142,0.42219601233317616
0.3086780770212157,0.3167396572361822,0.008061580214966502,1170,1150,2.611646506535812
0.29017995507093197,0.30809574859287153,0.01791579352193956,1154,1218,6.1740286359752865
0.2976788680415508,0.2944765709955758,0.003202297045975022,1210,1090,1.0874539305957667
0.3275615480394851,0.3161846959709725,0.011376852068512633,1153,1204,3.5981665822172153
0.3209628809066046,0.30304173278971475,0.01792114811688983,1155,1171,5.913755822312957
0.2985340106285225,0.31877170441767333,0.020237693789150857,1180,1214,6.779024522714569
0.31438377344598145,0.3402688487183183,0.025885075272336855,1173,1186,8.233591380562942
0.3392020500005064,0.30072289253175,0.03847915746875641,1157,1147,12.79555312360991
0.34783670902252195,0.29737265378969824,0.05046405523282371,1170,1179,16.96997171384557
0.3492348206173801,0.2783485905136558,0.0708862301037243,1187,1154,25.466710635363043
0.29601047648845114,0.2941207582037412,0.0018897182847099625,1169,1154,0.6424974205326001
0.30013739766278447,0.30170753216386437,0.0015701345010799006,1126,1202,0.5231385736355337
0.3113297413765116,0.32396322418661677,0.012633482810105179,1175,1105,4.057910675108509
0.3117667420872912,0.3295178587940489,0.017751116706757664,1137,1202,5.693717228435979
0.3029669792545952,0.29531899973022574,0.007647979524369464,1235,1106,2.5897350090430695
0.293228263204748,0.3005045882131168,0.0072763250083688336,1188,1209,2.481454184819867
0.29854422004437753,0.3194523824337597,0.020908162389382146,1165,1174,7.0033720251808
0.2978807032108307,0.28260989648028895,0.015270806730541764,1080,1195,5.403493267832838
0.3095351005762102,0.29541502559174954,0.014120074984460662,1211,1183,4.779741638454768
0.2721946869661297,0.27590789867721444,0.0037132117110847407,1222,1179,1.3641749412789939
0.31441992356023596,0.29615219971888646,0.018267723841349504,1082,1197,6.168356628345016
0.30113413360004376,0.29122912023285974,0.009905013367184023,1187,1233,3.4011067846732552
0.3057680927569264,0.3111684018989387,0.005400309142012283,1121,1171,1.766145412139296
0.2957662093990597,0.313701157484039,0.017934948084979307,1154,1222,6.063893546669746
0.3019948692403288,0.2939483950661661,0.00804647417416271,1170,1102,2.737376461045652
0.31245850682793175,0.3356650200483677,0.02320651322043593,1115,1189,7.427070383209493
0.3028613804345656,0.30711129998496867,0.004249919550403047,1171,1221,1.4032556888913934
0.2965028868735757,0.35000286938707476,0.05349998251349908,1166,1163,18.043663276813444
0.3042871723970427,0.30933037799658236,0.005043205599539635,1223,1164,1.6573835695443364
0.28162848678027685,0.27978598539318356,0.0018425013870932982,1142,1120,0.6585395564055966
0.3264844552901432,0.30325914744139687,0.023225307848746324,1198,1233,7.658567942533204
0.2778696940158344,0.2951117324097382,0.017242038393903814,1197,1173,6.205080570219103
0.309217100464456,0.3163966641422219,0.007179563677765899,1218,1233,2.321852079649514
0.38455538421261065,0.32229089237737096,0.06226449183523969,1176,1194,19.319345754993936
0.29307581444734576,0.30267123218963243,0.009595417742286672,1167,1126,3.2740394359666936
0.34714296704433,0.36434577603546064,0.017202808991130636,1220,1181,4.955540115820305
0.33113519592124196,0.30198161535848583,0.029153580562756132,1185,1189,9.654091202918954
0.3403291031074853,0.29572553539026686,0.04460356771721846,1158,1147,15.082758294225574
0.29105402888747633,0.2925581203394638,0.0015040914519874882,1173,1155,0.5167739672722349
0.2974359410996098,0.33369968115575044,0.036263740056140636,1167,1178,12.192117711825583
0.34709185862210873,0.3369334480092195,0.010158410612889246,1227,1124,3.0149605724544397
0.29537868234165326,0.35919700512950054,0.06381832278784727,1167,1192,21.60559532662247
